endTime,artistName,trackName,msPlayed
2021-09-28 16:44,Jaspreet Jasz,Tring Tring,12160
2021-09-29 16:50,A.R. Rahman,Ghanan Ghanan,350990
2021-09-29 16:52,Alvaro Soler,Libre,135970
2021-09-29 16:55,Kenndog,Beethoven,138440
2021-09-29 16:56,Klergy,Will You Fight,1660
2021-09-29 16:56,The Kid LAROI,STAY (with Justin Bieber),108420
2021-09-29 16:59,AREA21,Lovin' Every Minute,159180
2021-09-29 17:03,Coldplay,Higher Power - Tiësto Remix,211570
2021-09-29 17:05,5 Seconds of Summer,Youngblood,138210
2021-09-29 17:06,KT Tunstall,Suddenly I See,77550
2021-09-29 17:09,Stromae,Papaoutai,152600
2021-09-29 17:12,Serena,Safari,168880
2021-09-29 17:14,Hwa Sa,Maria,128010
2021-09-29 17:15,American Authors,I'm Born To Run,79250
2021-09-29 17:17,Maroon 5,Lost,100220
2021-09-29 17:19,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),104320
2021-09-29 17:21,Maroon 5,Lovesick,108490
2021-09-29 17:22,Maroon 5,Seasons,118700
2021-09-29 17:24,Louis Tomlinson,Too Young,104320
2021-09-29 17:26,Louis Tomlinson,Two of Us,96280
2021-09-29 17:28,Tones And I,Dance Monkey,121600
2021-09-29 17:31,Powfu,death bed (coffee for your head),92890
2021-09-29 17:33,Bee Gees,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",149830
2021-09-29 17:35,Bee Gees,You Should Be Dancing,106440
2021-09-29 17:35,The Charlie Biddle Trio,They All Laughed,890
2021-09-29 17:36,chloe moriondo,I Want To Be With You,3070
2021-09-29 17:36,Bazzi,Mine,84540
2021-09-30 01:51,The Strumbellas,Spirits,125250
2021-09-30 01:55,Vijay,Chella Kutti,240280
2021-09-30 01:58,Anirudh Ravichander,"Sodakku (From ""Thaanaa Serndha Koottam"")",186100
2021-09-30 02:00,Vijay Chandar,Atchi Putchi,57910
2021-10-02 09:23,Vijay Antony,Nan Adicha,253990
2021-10-03 00:51,Anirudh Ravichander,"Sodakku (From ""Thaanaa Serndha Koottam"")",211530
2021-10-03 01:24,Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),208162
2021-10-03 01:27,Post Malone,Saint-Tropez,150866
2021-10-03 01:30,Justin Bieber,Forever (feat. Post Malone & Clever),219933
2021-10-03 01:34,Drake,Hotline Bling,180779
2021-10-03 01:34,Vijay,Chella Kutti,80080
2021-10-03 01:38,Post Malone,rockstar (feat. 21 Savage),218146
2021-10-03 01:41,Martin Garrix,Burn Out (feat. Dewain Whitmore),200322
2021-10-03 01:45,Justin Bieber,Intentions,212868
2021-10-03 01:48,Swae Lee,Won't Be Late (feat. Drake),218709
2021-10-03 01:52,DJ Snake,Let Me Love You,205906
2021-10-03 01:55,KAROL G,"Ay, DiOs Mío!",189653
2021-10-03 01:59,Martin Garrix,Sun Is Never Going Down (feat. Dawn Golden),204418
2021-10-03 02:12,The Score,Unstoppable,192106
2021-10-03 02:17,Dimitri Vegas & Like Mike,Tremor - Sensation 2014 Anthem,282227
2021-10-03 02:20,Post Malone,Goodbyes (feat. Young Thug),174853
2021-10-03 02:30,Martin Garrix,These Are The Times (feat. JRM),37526
2021-10-04 01:06,Anirudh Ravichander,"Sodakku (From ""Thaanaa Serndha Koottam"")",210440
2021-10-04 01:08,Devi Sri Prasad,Sottavaala,92160
2021-10-04 01:34,Álex Garcigregor,"5000 Candles in the Wind (From ""Parks and Recreation"")",4005
2021-10-04 01:34,Dua Lipa,Future Nostalgia,1756
2021-10-04 01:34,Bazanji,The Runway,2385
2021-10-04 01:38,Post Malone,Die For Me (feat. Future & Halsey),245266
2021-10-04 01:38,KRS-One,Sound of da Police,7987
2021-10-04 01:38,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),1743
2021-10-04 01:41,Kygo,Forever Yours - Avicii Tribute,193846
2021-10-04 01:45,Miss Li,Break the Barrier,211013
2021-10-04 01:46,Katy Perry,Bon Appétit,81191
2021-10-04 01:47,Maciel,Lovely,40760
2021-10-04 01:50,The Kid LAROI,STAY (with Justin Bieber),141805
2021-10-04 01:51,The Stanford Mendicants,Life Could Be a Dream,51901
2021-10-04 01:54,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
2021-10-04 01:58,Stromae,Papaoutai,232146
2021-10-04 02:01,Jason Derulo,Lifestyle (Jason Derulo feat. Adam Levine),153865
2021-10-04 02:04,Maroon 5,Lovesick,185068
2021-10-04 02:08,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),227395
2021-10-04 02:08,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),24660
2021-10-04 02:11,Maroon 5,Lost,172597
2021-10-04 02:25,Coldplay,Higher Power - Tiësto Remix,210782
2021-10-04 02:28,Tones And I,Dance Monkey,209438
2021-10-04 02:31,DJ Khaled,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",135690
2021-10-04 02:34,5 Seconds of Summer,Youngblood,203417
2021-10-04 02:35,Coldplay,Hymn for the Weekend,805
2021-10-04 02:35,5 Seconds of Summer,Youngblood,4202
2021-10-04 02:38,Coldplay,Hymn for the Weekend - Seeb Remix,164862
2021-10-04 02:42,Coldplay,A Sky Full of Stars,267866
2021-10-04 02:47,Coldplay,Paradise,278719
2021-10-04 02:50,Coldplay,Viva La Vida,192429
2021-10-04 03:02,Coldplay,Higher Power - Tiësto Remix,122383
2021-10-04 16:36,The Kid LAROI,STAY (with Justin Bieber),141805
2021-10-04 16:37,Klergy,Will You Fight,3104
2021-10-04 16:39,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),175200
2021-10-04 16:43,Marching Band,Gorgeous Behavior,223340
2021-10-04 16:46,Goldspot,Rewind,160460
2021-10-04 16:49,The Police,Don't Stand So Close To Me,159660
2021-10-04 16:51,Carpenters,Top Of The World,148230
2021-10-04 17:05,Elton John,Tiny Dancer,134870
2021-10-04 17:05,"Armaan Malik, Harini Ivvaturi, Sri krishna, Thaman S",Kolo Kolanna Kolo,34290
2021-10-04 17:05,"Shreya Ghoshal, Kaala Bhairava",Inkosaari Inkosaari,11180
2021-10-04 17:06,Shiva Nirvana,Tuck Song,8970
2021-10-04 17:06,"Sri krishna, Nuthana Mohan",Needhi Nadhantu,21720
2021-10-04 17:06,Mohana Bhogaraju,Neeti Neeti Sukka,36420
2021-10-04 17:10,S.P. Charan,"Adigaa Adigaa (From ""Akhanda"")",49030
2021-10-04 17:14,Sid Sriram,Vachindamma,242940
2021-10-04 17:17,Anirudh Ravichander,"The Karma Theme - Telugu (From ""U Turn"")",163870
2021-10-04 17:19,A.R. Rahman,Veera,160680
2021-10-04 17:21,Vidyasagar,Kabadi,102520
